i (mA/cm2),eta_a,eta_c,eta_ohmic,Eload
-1.066398984330046e-05,-0.1200000000000001,0.35453759036106247,-2.6659974608251155e-09,2.9863663084627414
-9.960805733393174e-06,-0.11499999999999977,0.3482293083650009,-2.4902014333482934e-09,2.9750580262908835
-9.290742421299298e-06,-0.10999999999999988,0.34178926205062954,-2.322685605324824e-09,2.9636179798089963
-8.651950130475098e-06,-0.10499999999999998,0.3352017869353483,-2.162987532618774e-09,2.952030504534017
-8.042673521294877e-06,-0.10000000000000009,0.32844882737612147,-2.0106683803237195e-09,2.940277544822471
-7.461246640635791e-06,-0.0950000000000002,0.32150944756946864,-1.8653116601589477e-09,2.928338164870462
-6.906088135083609e-06,-0.08999999999999986,0.3143592107037403,-1.726522033770902e-09,2.9161879278659435
-6.375696713822653e-06,-0.08499999999999996,0.30696938103719695,-1.5939241784556631e-09,2.9037980980668023
-5.868646848008874e-06,-0.08000000000000007,0.29930588446777817,-1.4671617120022187e-09,2.8911346013706214
-5.383584694113588e-06,-0.07500000000000018,0.2913279340253997,-1.345896173528397e-09,2.8781566508069774
-4.919224229387379e-06,-0.06999999999999984,0.28298618148223176,-1.2298060573468446e-09,2.864814898147719
-4.474343588210933e-06,-0.06499999999999995,0.2742201841834374,-1.1185858970527335e-09,2.8510489007377045
-4.047781588691447e-06,-0.06000000000000005,0.2649548578631117,-1.0119453971728617e-09,2.8367835743107386
-3.6384344394216554e-06,-0.05500000000000016,0.2550953853236433,-9.096086098554138e-10,2.8219241016689334
-3.245252616845773e-06,-0.04999999999999982,0.24451969639897153,-8.113131542114433e-10,2.8063484126459657
-2.8672379041787486e-06,-0.04499999999999993,0.23306698043130092,-7.168094760446872e-10,2.7898956965837916
-2.5034405832992355e-06,-0.040000000000000036,0.22051941936397756,-6.25860145824809e-10,2.772348135425519
-2.1529567714862896e-06,-0.03500000000000014,0.2065716892694608,-5.382391928715724e-10,2.7534004052433816
-1.814925895295417e-06,-0.029999999999999805,0.1907768592927297,-4.537314738238542e-10,2.7326055751821423
-1.4885282942732187e-06,-0.02499999999999991,0.17244268355059122,-3.721320735683047e-10,2.7092713993584043
-1.1729829475909602e-06,-0.020000000000000018,0.15041117240801616,-2.9324573689774e-10,2.682239888136943
-8.675453170407371e-07,-0.015000000000000124,0.12251665053186667,-2.1688632926018427e-10,2.649345366184434
-5.715053001788329e-07,-0.010000000000000231,0.08391732401592367,-1.4287632504470823e-10,2.6057460395944814
-2.8418528772745943e-07,-0.004999999999999893,0.01930854091566614,-7.104632193186486e-11,2.5361372564223936
-4.938319650991493e-09,0.0,-0.35540975606157055,-1.2345799127478732e-12,2.1564189593753453
2.6685366538293305e-07,0.004999999999999893,-0.9000000000000008,6.671341634573326e-11,1.6068287153689673
5.317814921742204e-07,0.010000000000000231,-0.9000000000000008,1.329453730435551e-10,1.601828715302735
7.904103275462436e-07,0.015000000000000124,-0.9000000000000008,1.976025818865609e-10,1.596828715238078
1.043281179794268e-06,0.020000000000000018,-1.4000000000000012,2.6082029494856695e-10,1.0918287151748598
1.290912323298652e-06,0.02499999999999991,-1.5787571735454873,3.22728080824663e-10,0.9080715415674661
1.5338006523534896e-06,0.029999999999999805,-1.6000000000000014,3.834501630883724e-10,0.8818287150522299
1.7724229680512326e-06,0.03500000000000014,-1.587255444327977,4.431057420128082e-10,0.8895732706645987
2.0072372018645794e-06,0.040000000000000036,-1.5978186154177871,5.01809300466145e-10,0.8740100995160849
2.2386835793792104e-06,0.04499999999999993,-1.6082302827348385,5.596708948448026e-10,0.8585984321411719
2.4671857274515523e-06,0.04999999999999982,-1.6185095032281258,6.167964318628881e-10,0.8433192115907593
2.6931517278973893e-06,0.05500000000000016,-1.6286746345602277,6.732879319743473e-10,0.8281540802021654
2.916975120657326e-06,0.06000000000000005,-1.638743380184736,7.292437801643315e-10,0.8130853345217015
3.1390358592334818e-06,0.06499999999999995,-1.6396244509411693,7.847589648083705e-10,0.8072042637097532
3.3597012210479983e-06,0.06999999999999984,-1.646329785171992,8.399253052619995e-10,0.795498929423764
